id,name,brand,RAM,ROM,processor,screen_size,price,reviews,links,source
39,Refurbished HP Laptop Pro X2 612 G1 2 in1 Core i5 4th Generation 8gb 256gb Touchscreen 12.5 Inch Screen Size with Windows 10 and Office Installed Detachable,HP,Unknown,256GB,Intel Core i5,12.5,16999,5,https://www.kilimall.co.ke/listing/1000427003-special-offer-refurbished-hp-laptop-pro-x2-612-g1-2-in1-core-i5-4th-generation-8gb-256gb-touchscreen-125-inch-screen-size-with-windows-10-and-office-installed-detachable?skuId=10001617869&source=search-enterSearch-laptop,Kilimall
40,HP EliteBook 810 G3 Intel CORE i5 8GB RAM  256GB SSD STORAGE Laptop A High-Performance Durable and Budget-Friendly Refurbished Laptops Perfect for Business Professionals Notebook Compu,HP,8GB,256GB SSD,Intel Core i5,,21999,0,https://www.kilimall.co.ke/listing/1001075201-crazy-offer-hp-elitebook-810-g3-intel-core-i5-8gb-ram-256gb-ssd-storage-laptop-a-highperformance-durable-and-budgetfriendly-refurbished-laptops-perfect-for-business-professionals-notebook-compu?skuId=10002265618&source=search-enterSearch-laptop,Kilimall
41,Refurbished Lenovo ThinkPad T460 Laptop Intel Core i5 6th Gen 8GB RAM 256GB SSD 14 Inch Refurbished Laptops Computer Notebook Black,Lenovo,8GB,256GB SSD,Intel Core i5,14.0,18999,0,https://www.kilimall.co.ke/listing/1001071358-special-offer-refurbished-lenovo-thinkpad-t460-laptop-intel-core-i5-6th-gen-8gb-ram-256gb-ssd-14-inch-refurbished-laptops-computer-notebook-black?skuId=10002257969&source=search-enterSearch-laptop,Kilimall
42,i54gb 500gb Refurbished Lenovo T420 intel core i5 4GB Ram 500GB HDD 14INCH Refurbished Laptops Notebooks Refurbishded Computer windows 10 pro,Lenovo,4GB,500GB,Intel Core i5,14.0,11499,0,https://www.kilimall.co.ke/listing/1001045942-i54gb-500gb-refurbished-lenovo-t420-intel-core-i5-4gb-ram-500gb-hdd-14inch-refurbished-laptops-notebooks-refurbishded-computer-windows-10-pro?skuId=10002188144&source=search-enterSearch-laptop,Kilimall
43,PANASONIC CF-MX5 Versatile 12 inch Laptop with i5 4GB 8GB RAM 128GB256GB SSD TouchScreen Pen Input 64-Bit Operating System 6 Month Warranty,Panasonic,8GB,Unknown,Intel Core i5,12.0,12999,1,https://www.kilimall.co.ke/listing/1001022701-panasonic-cfmx5-versatile-12-inch-laptop-with-i5-4gb-8gb-ram-128gb256gb-ssd-touchscreen-pen-input-64bit-operating-system-6-month-warranty?skuId=10002099217&source=search-enterSearch-laptop,Kilimall
44,Refurbished Lenovo ThinkPad T460s Laptop Intel Core i7 6th Gen 8GB RAM 256GB SSD 14 Inch Refurbished Laptops Computer Notebook Black,Lenovo,8GB,256GB SSD,Intel Core i7,14.0,20999,2,https://www.kilimall.co.ke/listing/1000429101-special-offer-refurbished-lenovo-thinkpad-t460s-laptop-intel-core-i7-6th-gen-8gb-ram-256gb-ssd-14-inch-refurbished-laptops-computer-notebook-black?skuId=10001625840&source=search-enterSearch-laptop,Kilimall
45,i78GB128GBRefurbished Dell Latitude 7240 Laptop Intel Core i7  8GB RAM  128GB SSD Original Computer  Notebook  12.5 Inch Display Bluetooth Webcam Windows 11  Office 2019,Dell,8GB,128GB SSD,Intel Core i7,12.5,16899,0,https://www.kilimall.co.ke/listing/1001071879-i78gb128gbrefurbished-dell-latitude-7240-laptop-intel-core-i7-8gb-ram-128gb-ssd-original-computer-notebook-125-inch-display-bluetooth-webcam-windows-11-office-2019?skuId=10002258777&source=search-enterSearch-laptop,Kilimall
46,"REFURBISHED HP ELITEBOOK 820 G1 CORE I5 8GB RAM 256GB SSD, 4TH GENERATION 6 MONTHS WARRANTY ,INSTALLED WINDOWS 11",HP,8GB,256GB SSD,Intel Core i5,,16499,12,https://www.kilimall.co.ke/listing/2856319-sealed-laptop-offers-refurbished-hp-elitebook-820-g1-core-i5-8gb-ram-256gb-ssd-4th-generation-6-months-warranty-installed-windows-11?skuId=19425140&source=search-enterSearch-laptop,Kilimall
47,Refurbished Apple MacBook Pro 13 Core i5 2.4GHz 8GB RAM 256GB SSD Mid 2012 Laptop Silver  Bag,MacBook,8GB,256GB SSD,Intel Core i5,,24890,0,https://www.kilimall.co.ke/listing/1001057283-refurbished-apple-macbook-pro-13-core-i5-24ghz-8gb-ram-256gb-ssd-mid-2012-laptop-silver-bag?skuId=10002221283&source=search-enterSearch-laptop,Kilimall
48,Touchscreen x360 Refurbished Lenovo ThinkPad 11e Intel pentium 4GB RAM  128GB SSD  11.6 Inch Refurbished Lenovo Laptops Notebook Computer,Lenovo,4GB,128GB SSD,Unknown,11.6,11249,17,https://www.kilimall.co.ke/listing/2974479-limited-hot-best-offers-touchscreen-x360-refurbished-lenovo-thinkpad-11e-intel-pentium-4gb-ram-128gb-ssd-116-inch-refurbished-lenovo-laptops-notebook-computer?skuId=19740128&source=search-enterSearch-laptop,Kilimall
