brand,storage,ram,phones_price,reviews,battery
Xiaomi Redmi 14C,128,4," 17,499",0,5160
Maxfone Max 90,,8," 5,999",0,4050
Itel A06 3G,32,," 7,885",0,4000
Infinix Hot 50,256,," 26,499",0,5000
Infinix Hot 40i,128,," 14,999",0,
Samsung Galaxy A25,128,," 25,894",0,5000
Samsung Galaxy A25,128,," 29,799",0,5000
OPPO Reno12 F,,12," 47,399",0,5000
Maxfone S22 6.52,16,2," 6,999",3,5050
Samsung Galaxy A25,128,," 29,680",0,5000
realme Note 50,128,4," 13,994",0,
Infinix Hot 50i,,12," 13,044",0,5000
Samsung Galaxy C9,,6," 8,999",0,
Samsung Galaxy S24,256,," 92,394",0,
Samsung Galaxy A15,128,," 21,153",0,5000
"Tecno CAMON 20,",256,8," 23,379",0,5000
Samsung Galaxy A55,128,," 44,699",0,5000
Samsung Galaxy S23,256,," 63,999",0,4500
Infinix Hot 30,128,8," 20,499",0,6000
XIAOMI Redmi A3,64,," 9,999",0,5000
KGTEL Hallo 10,128,12," 9,799",0,5000
Samsung Galaxy F04,64,4," 15,980",0,5000
OPPO A5 4GB64GB,,4," 11,999",0,4230
TECNO POP 9,64,6," 11,399",0,5000
Samsung Galaxy A55,128,," 42,999",0,5000
OnePlus Nord CE,128,," 25,894",0,5000
Vivo Y03 128GB,128,8," 14,999",0,5000
Infinix Hot 50i,,12," 13,594",0,5000
Vivo Y03 64GB,64,8," 12,680",0,5000
Itel A80 128GB8GB,128,," 10,780",0,5000
Vivo Y19S 128GB4GB,128,," 18,494",0,5500
Vivo Y19S 128GB4GB,128,," 18,394",0,5500
Vivo Y19S 128GB6GB,128,," 20,494",0,5500
Vivo Y19S 128GB6GB,128,," 20,494",0,5500
Vivo Y19S 128GB4GB,128,," 18,394",0,5500
Xiaomi Redmi 14C,256,8," 17,494",0,5160
Samsung Galaxy A24,,," 22,980",0,
Infinix 9HD 64GB,64,6," 12,194",0,
OnePlus Nord N30,128,4," 20,994",0,5000
Xiaomi Redmi Note,,12," 57,494",0,5000
OPPO Reno 12,,12," 69,994",0,5000
OPPO Reno 12,,12," 67,294",0,5000
Oppo Reno 12F,,8," 38,994",0,5000
XIAOMI Redmi A3X,64,," 10,994",0,5000
Infinix 9 64GB,64,3," 10,899",0,5000
OPPO Reno 12,,12," 47,994",0,5000
Oppo Reno 12F,,8," 38,594",0,5000
Infinix Note 40,256,," 26,594",0,5000
Oppo Reno 12F,,8," 39,594",0,5000
Tecno Camon 30,256,," 26,999",0,5000
Samsung Galaxy A16,128,," 20,599",0,
Samsung Galaxy A25,128,," 29,999",0,5000
Samsung Galaxy A25,256,," 35,999",0,5000
Infinix Note 40,256,," 26,894",0,5000
Vivo V40 LITE,,8," 34,994",0,
Samsung Galaxy A16,128,," 21,894",0,
Samsung Galaxy A55,256,," 50,494",0,5000
XIAOMI Redmi Note,,8," 35,694",0,5000
XIAOMI Redmi Note,,8," 31,299",0,5000
Infinix Hot 50,128,," 23,994",0,5000
Infinix 9 128GB,128,4," 11,599",0,5000
Samsung Galaxy A55,256,," 58,799",0,5000
Samsung Galaxy A55,128,," 44,794",0,5000
Itel A80 128GB,128,8," 10,999",0,5000
Vivo Y03 64GB,64,4," 13,994",0,5000
Samsung Galaxy A55,128,," 47,894",0,5000
Infinix Hot 50,256,," 26,594",0,5000
Infinix 9 128GB,128,8," 12,599",0,
OPPO A3 256GB,256,8," 29,894",0,5100
Xiaomi Redmi 14C,128,4," 13,499",0,5160
Xiaomi Redmi 14C,256,8," 16,699",0,5160
Sony Xperia 1,256,12," 46,999",0,
Itel P55 128GB,128,12," 12,499",0,5000
Tecno Camon 30S,256,," 24,399",0,5000
Infinix 9 128GB,128,8," 12,299",0,5000
Samsung Galaxy A15,256,," 29,499",13,5000
Infinix Hot 50,256,," 26,499",0,5000
Infinix Hot 50,256,," 27,294",0,5000
Infinix Hot 50,256,," 27,394",0,5000
Realme C67 256GB,256,8," 23,580",0,5000
Infinix Hot 50i,,12," 12,999",0,5000
Samsung Galaxy A06,128,," 15,994",0,5000
Vivo Y03 128GB,128,4," 16,394",0,5000
Vivo Y03 128GB,128,4," 16,394",0,5000
Samsung Galaxy A55,256,," 49,049",0,5000
XIAOMI Redmi A3X,128,," 12,494",0,5000
XIAOMI Redmi Note,,8," 30,600",0,5000
XIAOMI Redmi A3X,64,," 10,994",0,5000
Tecno Camon 30S,256,," 33,994",0,5000
XIAOMI Redmi A3X,64,," 10,594",0,5000
Tecno Camon 30S,128,," 25,594",0,5000
Infinix 9 128GB,128,8," 12,594",0,
Infinix hot 50i,128,12," 13,499",0,
Samsung Galaxy S24,,12," 138,999",0,
