,Name,Price(kshs),Reviews,Doors,Capacity(ltrs),Brand
375,RAMTONS 170L SINGLE DOOR DIRECT COOL FRIDGE2 YEARS WARRANTY,44799,0,1,170.0,Ramtons
376,TOP DEAL Hisense Fridge 120Liters Two Door REF120DR2 YEARS WARRANTY,37999,0,2,120.0,Hisense
377,Hisense Fridge 120Liters Two Door REF120DR,48300,0,2,120.0,Hisense
378,"VON ,VARS-23DHS Single Door Fridge 185L - Silver",42525,0,1,185.0,Von
380,"RAMTONS 204 LITERS 2 DOOR DIRECT COOL 3 STAR FRIDGE, SILVER - RF340",45990,0,2,204.0,Ramtons
381,NEW ARRIVALSSOLSTAR RF586HTDINBSS 415L Double Door Fridge,93495,0,2,415.0,Solstar
382,NUNIX 138L BCD-138 Fridge Double Door Direct Cool Fridge Refrigerator Fridges,34999,0,2,138.0,Nunix
383,Rebune Fridge 90L,30000,0,Not Found,90.0,Rebune
384,SOLSTAR RF466HTDINBSS 334L Double Door Fridge,76595,0,2,334.0,Solstar
385,"MIKA MRDCS92DS 92L, Single Door, Defrost Direct Cool Fridge - Dark Silver",30000,0,1,92.0,Mika
386,Hisense REF094DR - 94L Single Door Fridge,32900,0,1,94.0,Hisense
387,Nunix 138L Double Door Fridge Energy Efficient BCD-138,30499,0,2,138.0,Nunix
389,Premier 128L PERFECT QUALITY FRIDGE,39200,0,Not Found,128.0,Premier
390,Mika 202L No Frost 2 Door Fridge- MRNF202LSD,67950,0,2,202.0,Mika
391,SOLSTAR RF346HTDSLBSS 248L Double Door Fridge,61995,0,2,248.0,Solstar
392,New 92 litres Nunix Energy saver Fridge now available,29000,0,Not Found,92.0,Nunix
393,"Roch RFR-110D-B Double Door Fridge, 85L - SilverMechanical Control Interior Comes equipped with big crisper drawer to make your life easier when selecting fresh ingredients. Silent operation, making i",25256,0,2,85.0,Roch
394,Ramtons Single Door Fridge 85 Litres 2stars,25000,0,1,85.0,Ramtons
395,"Portable mini fridge 7.5 ltrs Made of premium ABS material, which is durable and non-toxic. Designed for refrigerating or keeping food warm. 7.5L perfect size for a few of your favorite beverages.",5328,0,Not Found,7.5,Unknown
396,premier Double Door Fridge 128L - Silver,32999,0,2,128.0,Premier
397,"Volsmart 118L Fridge Freezer Energy Saving Double Doors Refrigerator VL-BCD118 Double-door and dual-temperature design, various foods can be stored separately. 6. Anti-fall fruit and vegetable bas",32700,0,2,118.0,Volsmart
398,Ramtons - 2 Door Direct Cool Fridge - 213 Litres Preserve food using this Ramtons fridge. This fridge is ideal for all your storage needs plus its energy efficient and CFC free.,54999,0,2,213.0,Ramtons
399,Premier 128L FRIDGES TWO DOORS,45200,0,2,128.0,Premier
400,Haier 333L Double Door No-Frost Fridge HRF-355BS,92995,0,2,333.0,Haier
401,Premier Two Doors 128L Fridge Refrigerator,34990,0,2,128.0,Premier
402,Syinix 137L Double Door Fridge Energy Efficient FD180BF02K,34999,0,2,137.0,Syinix
403,Syinix 210L Double Door Fridge Energy Efficient FD275BF02K,44999,0,2,210.0,Syinix
404,Mika 211 Litres Double Door Fridge,56025,0,2,211.0,Mika
405,NUNIX 138L BCD-138 Fridge Double Door Direct Cool Fridge Refrigerator Fridges Silver 138L,33999,0,2,138.0,Nunix
406,RESTOCKED Quality Nunix 92litres Single Door Fridge Refrigerators,24999,0,1,92.0,Nunix
407,Premier 90L SINGLE DOOR FRIDGE Single Door Refrigerator,45200,0,1,90.0,Premier
408,Premier 90L PERFECT QUALITY FRIDGE,26600,0,Not Found,90.0,Premier
409,RESTOCKED Quality Mika 92litres Single Door Fridge Refrigerators,26899,0,1,92.0,Mika
410,RAMTONS RF239 196 LITRES DOUBLE DOOR NO FROST FRIDGE - SILVER,65000,0,2,196.0,Ramtons
411,Haier 215L Single Door Fridge HRD-2204CSS,50900,0,1,215.0,Haier
