,Name,Price(Kshs),Reviews
56,i5+8GB+500GB+Free MouseRefurbished HP Probook 640 G1 Laptop Intel Core i5 8GB RAM / 750GB HDD ROM 14'' Windows 11 6 months warranty Notebook Bluetooth Webcam Laptops,19999,0
57,i5 8gb ram 256gb ssd Touchscreen Refurbished HP ProBook x360 11 G1 EE Intel Core i5 8th Gen 8GB RAM 256GB SSD 11.6 Inch HD Display Refurbished hp Laptop Refurbished Laptops,20199,0
58,"!!! Hp Elitebook 830 G5 8th Generation - Intel Core i5 - 8GB RAM 256GB SSD ROM - 13.3"" Laptop - Windows 10 and Microsoft Office 2019 Notebook Silver with 6 Months Warranty",28999,5
59,"Lenovo ThinkPad Yoga 370 X360 Core I7 7th Gen 8GB RAM 256GB SSD 14"" FHD Touchscreen 2-in-1 Convertible Refurbished Laptop + Stylus",40999,0
60,"+FREE MOUSE Refurbished Hp EliteBook 820 G2 | Core i5 | 8GB RAM | 500GB HDD 5TH GENERATION, 6 Months Warranty Laptop Computer | Notebook Black 12.5 Inches",18499,25
61,Dell Latitude E7270 Intel Core i7 6th Gen 8GB RAM 256GB SSD 12.5 Inch 2.6GHz up to 3.4GHz Dual Core Processor Windows 10 Pro Slim Refurbished Ultrabook Laptop,24500,0
62,"TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360",11699,29
63,"Lenovo ThinkPad L380 Yoga x360 Core I5 8th generation Quad core, 8GB RAM 256GB SSD 13.3 Inches FHD Touchscreen with a stylus Pen 2 in 1 Refurbished Laptop",28999,0
64,"REFURBISHED LENOVO THINKPAD YOGA 11E TOUCHSCREEN 4GB RAM 128GB SSD , 2 IN 1 LAPTOP , 5TH GENERATION X360 COMPUTER, INSTALLED WINDOWS 10 PRO, FREE MOUSE",12999,81
65,With Sylus Pen Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 8GB Ram 128GB SSD 12.6''inch Refurbished Laptop Computer Notebook,13749,4
66,"[] Dell Latitude Air Laptop E7280 Intel Core i5 - 6300u Processor 6th Generation, 8 GB Ram & 256GB SSD, 12.5 Inches Ultra Slim & Feather Light 1KG Notebook Computer",22999,0
67,"[Mouse+i5+8gb+512GB+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 512GB SSD Backlit Keyboard 14"" Notebook Windows 11 Office 2019",22999,0
