,Name,Price,Reviews,Screen_size
57,i5+8GB+500GB+Free MouseRefurbished HP Probook 640 G1 Laptop Intel Core i5 8GB RAM / 750GB HDD ROM 14'' Windows 11 6 months warranty Notebook Bluetooth Webcam Laptops,"KSh 19,999",0,14.0
58,"HP Elitebook 8460 Laptop Core i5 8GB RAM / 500GB HDD Computer Laptop,windows 10 pro +free mouse ,Silver 14 inch","KSh 13,499",34,14.0
59,i5+8GB+512GB SSD+ MouseRefurbished Lenovo Thinkpad X260 Laptop i5 8GB 512GB SSD 2.40 Ghz 12.5 Inches FHD Windows 11 Intel HD Graphics Bluetooth Webcam,"KSh 20,999",1,12.5
60,i5 8gb ram 256gb ssd Touchscreen Refurbished HP ProBook x360 11 G1 EE Intel Core i5 8th Gen 8GB RAM 256GB SSD 11.6 Inch HD Display Refurbished hp Laptop Refurbished Laptops,"KSh 20,199",0,11.6
61,"Free Mouse i5+8gb+500gb+14'' Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 500GB SSD Backlit Keyboard 14"" Notebook Windows 11 Office 2019","KSh 20,999",27,14.0
62,"Hp Elitebook 830 G5 8th Generation - Intel Core i5 - 8GB RAM 256GB SSD ROM - 13.3"" Laptop - Windows 10 and Microsoft Office 2019 Notebook Silver with 6 Months Warranty","KSh 28,999",5,13.3
63,Lenovo ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,"KSh 19,999",0,
64,"Lenovo ThinkPad Yoga 370 X360 Core I7 7th Gen 8GB RAM 256GB SSD 14"" FHD Touchscreen 2-in-1 Convertible Refurbished Laptop + Stylus","KSh 40,999",0,14.0
65,"Refurbished Hp EliteBook 820 G2 | Core i5 | 8GB RAM | 500GB HDD 5TH GENERATION, 6 Months Warranty Laptop Computer | Notebook Black 12.5 Inches","KSh 18,499",25,12.5
66,"Lenovo ThinkPad L380 Yoga x360 Core I5 8th generation Quad core, 8GB RAM 256GB SSD 13.3 Inches FHD Touchscreen with a stylus Pen 2 in 1 Refurbished Laptop","KSh 28,999",0,13.3
67,"TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360","KSh 11,699",29,
