cooktop_name,cooktop_reviews,cooktop_price
Nunix Two Burner Tabletop Gas Cooker Stainless Steel SC-002,(8),"KSh 2,199"
"THE BEST 6kg Meko Primus Gas Burner Plus 6kg Meko Grill,This stainless steel gas burner with single burner is the most perfect kitchen appliances for compact spaces.",(0),KSh 750
"Share this product


Sokany Quality Single Induction hob Portable Digital Cooktop Electric Hot Plate with Touch Control 2200W",(0),"KSh 4,999"
AILYONS Glass Tampered Top Infrared Double Burner Gas stove with Auto ignition black color – ZKD-1093,(0),"KSh 3,200"
Durable Table Top Single Burner Gas Stove Gas Cookers White,(5),"KSh 1,097"
Ecoa Char Stove Home Kitchen Cooker Charcoal Jiko (Formerly Jikokoa),(0),"KSh 3,250"
Sayona Induction Cooker,(1),"KSh 4,999"
"Starlux 4 In 1 Table Top Gas Burner, Manual Ignition",(0),"KSh 3,880"
Ampia Advanced New And Efficient Gas Chick Brooder /warmer,(0),"KSh 6,199"
RASHNIK    RN-201  2  Burner GLass  Top Gas  Cooker  Gas Stove with  Steel Construction Piezoelectric Ignition,(0),"KSh 2,499"
Starlux 4 Gas Burner Table Top gas Cooker- SGS-6004,(0),"KSh 4,000"
Nunix Two Burners Table Top Gas Stove Cooker SC,(16),"KSh 2,199"
【Promotion】Intex Agni Flair Super Gas Stove and 2 Brass Burners Auto Ignition Portable,(0),"KSh 2,249"
Nunix Glass Table Top Double Burner Gas COOKERS + Pipe & Regulator,(6),"KSh 3,629"
EUROCHEF 3 Burner Gas Top plus 1 Hot PlateTable Top Cooker EC-S31,(0),"KSh 4,500"
"Aluminium kitchen Gas wind shield,..energy saving in gas and strong ability to gather fire",(1),"KSh 1,474"
Amaze 3 Burner Stainless Steel Cooktop,(1),"KSh 3,699"
Nunix 3 Burner Glass Table top Gas Stove Double Burner Saving Gas cooker,(3),"KSh 3,999"
Electric Cooker / Single Spiral Coil,(0),"KSh 1,250"
Nunix Table Top 4 Burner Gas Cooker + Free 6kg Regulator & Gas Pipe,(7),"KSh 4,999"
Sokany double induction cooker,(1),"KSh 5,999"
3 burner infrared Kitchen Appliances  cooktops,(3),"KSh 4,499"
"Veigapro Energy Efficient 2 Gas Burner,Gas Table Top Cooker",(3),"KSh 2,599"
Nunix Table Top Gas Cooker + Pipe + 13kg Regulator +Tightener,(0),"KSh 2,599"
silver crest Infrared Induction Cooker Sensor Touch Control,(0),"KSh 4,300"
Nunix 3 Burner Auto Ignition Table Top Cooker 6kg Regulator And Pipe,(0),"KSh 3,189"
