product_name,product_reviews,product_price
VITRON HTC2446 24 INCHES HD Digital AC/DC LED TV INBUILT DECODER(for local channels) Multiple HDMI Output and USB AV ports  Wide Color Enhancer+ 3 FREE GIFTS,(5),"KSh 9,999"
"VITRON 43"" INCH TV HTC4388FS BLUETOOTH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE WALL BRACKET+HEAVYDUTY EXTENSION",(32),"KSh 20,995"
"TCL 50 INCH SMART TV 50V6B 50'' 4K UHD,Google TV,Frameless- YOUTUBE, NETFLIX-BLUETOOTH NEW MODEL",(1),"KSh 44,299"
"AMTEC 43"" inch TV Bluetooth Enabled Frameless 43L12 Television Full HD Smart Android TV Built-in WIFI, Inbuilt Decoder 3*HDMI 2*USB Ports WideColor+ 8 FREE GIFTS",(9),"KSh 21,795"
"Vitron 50"" INCH SMART ULTRA HD 4K SCREEN TV,BLUETOOTH-TILT BRACKET+GUARD+14 MONTHS WARRANTY",(0),"KSh 35,999"
"Vitron HTC4388FS- 43"" Inch,BLUETOOTH-ENABLED,FRAMELESS ,FRAMELESS Smart Android 11 TV ,DECODER-INBUILT,Netflix,Youtube,Playstore +6 FREE EXTRA GIFTS",(22),"KSh 21,999"
"GLD 43"" inch TV Smart Android TV Bluetooth Connectivity Television, Inbuilt Decoder Netflix Youtube VGA HDMI USB Wide Color Enhancer + 8 FREE Gifts",(9),"KSh 21,295"
"Skyworth 43” inch 43E FRAMELESS FHD ANDROID AI TV,Built-in WI-FI,NETFLIX,YOUTUBE,GOOGLE ASSITANT Playstore OK GOOGLE TV Bluetooth Enabled Inbuilt Decoder+ 8 FREE GIFTS",(42),"KSh 28,995"
"Amtec 19"" With Inbuilt Free To Air Decorder",(1),"KSh 5,499"
"Hisense 32"" inch VIDAA OS Full HD FRAMELESS Smart  TV Inbuilt WIFI  Dobly Audio Inbuilt Decoder Wide Color Enhancer 24 Months Warranty + 8 Free Gifts",(6),"KSh 21,999"
"TCL 55'' Inch V6B 2024 Model Smart UHD 4K Frameless LED TV, YouTube, Netflix ,Prime video,DSTV,Google tv-Smart tvs",(1),"KSh 49,499"
"VITRON BLUETOOTH TV-32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI +14 MONTHS WARRANTY+ 4 FREE GIFTS",(3),"KSh 13,190"
"Vitron BLUETOOTH TV  HTC3200S,FRAMELESS 32 Inch Smart Android TV Inbuilt Decoder 3*HDMI,2*USB ports,Netflix,Youtube, App Store 14 Months Warranty+ +3 EXTRA GIFTS",(48),"KSh 12,995"
"EOCO 43"" INCH BLUETOOTH ENABLED FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2*USB PORTS,3*HDMI PORTS + 4 FREE GIFTS",(0),"KSh 19,990"
"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE  43 INCH BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM + 6 FREE ACCESSORIES+",(45),"KSh 21,595"
