product_id,name,rating,reviews,current_price,previous_price
SKU ID: 10001486604,CTC 26'' INCH AC/DC LED DIGITAL TV With INBUILT DECODER - BLACK,5.0,0 Customer reviews,"KSh 7,996","KSh10,000"
SKU ID: 10001198249,"VITRON BLUETOOTH TV-32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI +14 MONTHS WARRANTY+ 4 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,190","KSh26,000"
SKU ID: 10001525273,"EOCO 43"" INCH BLUETOOTH ENABLED FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2*USB PORTS,3*HDMI PORTS + 4 FREE GIFTS",5.0,0 Customer reviews,"KSh 19,990","KSh40,000"
SKU ID: 15390019,"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE  43 INCH BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM + 6 FREE ACCESSORIES+",5.0,0 Customer reviews,"KSh 21,595","KSh27,000"
SKU ID: 17010083,"VITRON 43"" INCH HTC4388FS  BLUETOOTH FRAMELESS Full HD SMART ANDROID TV, NETFLIX, Youtube, Inbuilt Decoder 2*USB Ports,3*HDMI Ports,APPSTORE 14 Months Warranty+ 8 FREE GIFTS",5.0,0 Customer reviews,"KSh 22,595","KSh28,000"
SKU ID: 10001160078,"TCL 50"" Inch, P635, 4K HDR Google/Android TV,BLUETOOTH-ENABLED+FREE TV GUARD+EXTENSION",5.0,0 Customer reviews,"KSh 43,899","KSh90,000"
SKU ID: 10000763989,"VITRON BLUETOOTH-32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore  14 MONTHS WARRANTY+ FREE GIFTS",5.0,0 Customer reviews,"KSh 13,999","KSh28,000"
SKU ID: 19176514,"Vitron 32"" Inches, USB, HDMI, HD Ready, Frameless, Digital LED TV + 3 FREE GIFTSv",5.0,0 Customer reviews,"KSh 14,500","KSh21,000"
SKU ID: 10000602607,"Artel 40 inch Frameless Digital TV(AT40D) with14 Months Warranty,AC Energy Saving Televison",5.0,0 Customer reviews,"KSh 16,599","KSh 19,000"
SKU ID: 10001155303,"Vitron 55"" Inch FRAMELESS,BLUETOOTH,UHD 4k Android Smart TV,NETFLIX+GUARD+WALL BRACKET",5.0,0 Customer reviews,"KSh 43,699","KSh80,000"
SKU ID: 20051509,"VITRON BLUETOOTH HTC3200S,32 Inch FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty + 7 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,875","KSh18,000"
SKU ID: 10001203606,"Hisense 43'' Inch 43A6 series,BLUETOOTH ENABLED TV, SMART  ULTRA HD 4K TELEVISION, HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO,VIDAA OS+ 6 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 35,995","KSh40,000"
SKU ID: 16426605,"VITRON 50 inch HTC5068US,50 Inch BLUETOOTH FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM Youtube,Netflix+FREE TV Guard+Wall Bracket+ 2GB FLASH DISK",5.0,0 Customer reviews,"KSh 35,495","KSh40,000"
SKU ID: 10000665347,"Vitron HTC4388FS 43"" INCH-BLUETOOTH-ENABLED, FRAMELESS- FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI+8 FREE GIFTS+14 MONTHS WARRANTY",5.0,0 Customer reviews,"KSh 22,899","KSh40,000"
SKU ID: 10000345619,"TCL 43S5400A 43"" Inch Smart ANDROID TV BT ,Netflix,WIFI Bluetooth Youtube Appstore",5.0,0 Customer reviews,"KSh 26,999","KSh34,000"
