clean_product_name,brand,size,tv_type,product_reviews,product_price
EOCO E-2600 Smart Bluetooth ACDC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G8G with 12 Months Warranty,eoco,26,smart,1,8899
"CTC 32 Inches Frameless Bluetooth Enabled Smart Android  TV, Netflix, Inbuilt Decoder Youtube Television Connect Inbuilt WIFI,APP STORE  Smart Digital TV 6 EXTRA ACCESSORIES",vision,32,smart,18,12895
Vitron 55 Inches 4K UHD Smart Android TV with Bluetooth DVB-T2 Smart Tellevison OS Android 11 1.5G8G HTC5568US,vitron,55,smart,42,41960
"VITRON 43 INCH TV HTC4388FS BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM3 FREE GIFTS",vitron,43,smart,8,21299
"GLD 50 Inch 4K UHD Smart Frameless Televisions Android LED TVLE50Q6UD-SA,Bluetooth-USB 2-HDMI 3-Googleplay NETFLIX YOUTUBE",vision,50,smart,32,35499
EOCO E-2600 Smart Bluetooth ACDC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G8G with 12 Months Warranty,eoco,26,smart,9,8899
"VITRON HTC4388FS 43 INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE  43 INCH BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM  4 EXTRA ACCESSORIES",vitron,43,smart,2,20895
"CTC 23 Digital LED TV ,USB,HDMI PORT,23 INCHES,DECODER,ACDC.",ctc,,digital,4,6799
"Amtec 32R1S 32 inch Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV 8 FREE GIFTS",vision,32,smart,45,13995
"BLUETOOTH VITRON 43 INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE 4 GIFTS",vitron,43,smart,1,20999
"GLD 43 inch TV Smart Android TV Bluetooth Connectivity Television, Inbuilt Decoder Netflix Youtube VGA HDMI USB Wide Color Enhancer  FREE TV GUARDBRACKET",vision,43,smart,5,20395
"BLUETOOTH VITRON HTC4388FS , 43 INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE 6 GIFTS",vitron,43,smart,5,21999
"VISION PLUS 43 inch FRAMELESS Full HD Smart Android TV BLUETOOTH Enabled,NETFLIX,YOUTUBE Inbuilt Decoder VP8843SF Dolby Audio WifiBuilt-in DVBT2S2 Screen-Share  8  FREE GIFTS",vision,43,smart,28,24995
"VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14MONTHS WARRANTY FREE WALL BRACKET",vitron,32,smart,2,12390
"GLD 32 Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTSWIFI ACCESS  6 EXTRA ACCESSORIES",vision,32,smart,1,13880
"VITRON HTC5068US 50 Inch FRAMELESS INBUILT DEDODER 4K UHD Android Bluetooth TV BUILT-IN WIFI 1.5GBRAM,8GBROM Youtube,Netflix APPSTORE  6 EXTRA GIFTS",vitron,50,Unknown Type,19,35995
"VISION PLUS 43 inch FRAMELESS Full HD Smart Android TV BLUETOOTH,NETFLIX,YOUTUBE Inbuilt Decoder Dolby Audio WifiBuilt-in DVBT2S2 Screen-Share  6 EXTRA  ACCESSORIES",vision,43,smart,6,24895
"VISION Plus 32 inch VP8832SF FRAMELESS HD Smart Android TV BLUETOOTH,App Store ,NETFLIX,YOUTUBE Inbuilt decoder  DVBT2S2 Screen Share  8 Free Gifts",vision,32,smart,11,15995
"TCL P635- 43 Inch,FRAMELESS, 4K Ultra HD Smart LED GoogleAndroid TV,Bluetooth-EnabledFREE WALL BRACKETTV GUARD2 YEARS WARRANTY",tcl,43,smart,1,32999
VITRON HTC3218 32 INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER FOR  FREE to Air Channels 14 Months WarrantyFREE AERIALWALL BRACKET TV GUARD,vitron,32,digital,0,12799
VITRON HTC2446 24 INCHES HD Digital ACDC LED TV INBUILT DECODERfor local channels Multiple HDMI Output and USB AV ports  Wide Color Enhancer 3 FREE GIFTS,vitron,24,digital,5,9999
"VITRON 43 INCH TV HTC4388FS BLUETOOTH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROMFREE WALL BRACKETHEAVYDUTY EXTENSION",vitron,43,smart,32,20995
"TCL 50 INCH SMART TV 50V6B 50 4K UHD,Google TV,Frameless- YOUTUBE, NETFLIX-BLUETOOTH NEW MODEL",tcl,50,smart,1,44299
"AMTEC 43 inch TV Bluetooth Enabled Frameless 43L12 Television Full HD Smart Android TV Built-in WIFI, Inbuilt Decoder 3HDMI 2USB Ports WideColor 8 FREE GIFTS",vision,43,smart,9,21795
"Vitron 50 INCH SMART ULTRA HD 4K SCREEN TV,BLUETOOTH-TILT BRACKETGUARD14 MONTHS WARRANTY",vitron,50,smart,0,35999
"Vitron HTC4388FS- 43 Inch,BLUETOOTH-ENABLED,FRAMELESS ,FRAMELESS Smart Android 11 TV ,DECODER-INBUILT,Netflix,Youtube,Playstore 6 FREE EXTRA GIFTS",vitron,43,smart,22,21999
"GLD 43 inch TV Smart Android TV Bluetooth Connectivity Television, Inbuilt Decoder Netflix Youtube VGA HDMI USB Wide Color Enhancer  8 FREE Gifts",vision,43,smart,9,21295
"Skyworth 43 inch 43E FRAMELESS FHD ANDROID AI TV,Built-in WI-FI,NETFLIX,YOUTUBE,GOOGLE ASSITANT Playstore OK GOOGLE TV Bluetooth Enabled Inbuilt Decoder 8 FREE GIFTS",skyworth,43,Unknown Type,42,28995
Amtec 19 With Inbuilt Free To Air Decorder,amtec,19,Unknown Type,1,5499
Hisense 32 inch VIDAA OS Full HD FRAMELESS Smart  TV Inbuilt WIFI  Dobly Audio Inbuilt Decoder Wide Color Enhancer 24 Months Warranty  8 Free Gifts,hisense,32,smart,6,21999
"TCL 55 Inch V6B 2024 Model Smart UHD 4K Frameless LED TV, YouTube, Netflix ,Prime video,DSTV,Google tv-Smart tvs",tcl,55,smart,1,49499
"VITRON BLUETOOTH TV-32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14 MONTHS WARRANTY 4 FREE GIFTS",vitron,32,smart,3,13190
"Vitron BLUETOOTH TV  HTC3200S,FRAMELESS 32 Inch Smart Android TV Inbuilt Decoder 3HDMI,2USB ports,Netflix,Youtube, App Store 14 Months Warranty 3 EXTRA GIFTS",vitron,32,smart,48,12995
"EOCO 43 INCH BLUETOOTH ENABLED FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX YOUTUBE 43 INCH BUILT-IN WIFI APPSTORE 1GB RAM 8GBROM 2USB PORTS,3HDMI PORTS  4 FREE GIFTS",vision,43,smart,0,19990
"VITRON HTC4388FS 43 INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE  43 INCH BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM  6 FREE ACCESSORIES",vitron,43,smart,45,21595
"VITRON 43 INCH HTC4388FS  BLUETOOTH FRAMELESS Full HD SMART ANDROID TV, NETFLIX, Youtube, Inbuilt Decoder 2USB Ports,3HDMI Ports,APPSTORE 14 Months Warranty 8 FREE GIFTS",vitron,43,smart,81,22595
"TCL 50 Inch, P635, 4K HDR GoogleAndroid TV,BLUETOOTH-ENABLEDFREE TV GUARDEXTENSION",tcl,50,Unknown Type,1,43899
"Vitron 32 Inches, USB, HDMI, HD Ready, Frameless, Digital LED TV  3 FREE GIFTSv",vitron,32,digital,0,14500
"Artel 40 inch Frameless Digital TVAT40D with14 Months Warranty,AC Energy Saving Televison",artel,40,digital,8,16599
"VITRON BLUETOOTH-32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore  14 MONTHS WARRANTY FREE GIFTS",vitron,32,smart,7,13999
"Vitron 55 Inch FRAMELESS,BLUETOOTH,UHD 4k Android Smart TV,NETFLIXGUARDWALL BRACKET",vitron,55,smart,1,43699
"VITRON BLUETOOTH HTC3200S,32 Inch FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty  7 FREE GIFTS",vitron,32,smart,0,13875
"Hisense 43 Inch 43A6 series,BLUETOOTH ENABLED TV, SMART  ULTRA HD 4K TELEVISION, HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO,VIDAA OS 6 EXTRA ACCESSORIES",hisense,43,smart,0,35995
"VITRON HTC3200S, BLUETOOTH -ENABLED, Frameless 32 Inch Smart Android TV Inbuilt Decoder,Netflix Youtube Google PlaystoreFREE 6 GIFTS",vitron,32,smart,1,13659
"VITRON 50 inch HTC5068US,50 Inch BLUETOOTH FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM Youtube,NetflixFREE TV GuardWall Bracket 2GB FLASH DISK",vitron,50,Unknown Type,29,35495
"Vitron HTC4388FS 43 INCH-BLUETOOTH-ENABLED, FRAMELESS- FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI8 FREE GIFTS14 MONTHS WARRANTY",vitron,43,smart,4,22899
"TCL 43S5400A,43 Inch Bluetooth Television Smart ANDROID TV Netflix Youtube Google Appstore Inbuilt WIFI Inbuilt Decoder DOLBY AUDIO HDR10 7 freee gifts",tcl,43,smart,3,29895
"TCL 50 Inch,4K HDR Google TV - BLUETOOTH-ENABLEDANDROID TV,NETFLIX,VOICE CONTROLTILT BRACKET2 YEARS WARRANTY",tcl,50,Unknown Type,0,43999
"VITRON 32 INCH HTC3200S,BLUETOOTH-ENABLED,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI14 MONTHS WARRANTY7 FREE GIFTS",vitron,32,smart,23,13899
"VITRON 43 INCH TV HTC4388FS BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROMFREE TV AERIALBRACKETTV  GUARD",vitron,43,smart,1,21399
"VITRON HTC5568S,55 Inches BLUETOOTH 4K UHD Television Smart Android TV,Netflix,Youtube Bluetooth Enabled INBUILT DECODER 1.5GBRAM,8GBROM  4 FREE GIFTS",vitron,55,smart,1,42995
"GLD 32 INCHES,FRAMELESS SMART BLUETOOTH ENABLED-ANDORID TV SMART,NETFLIX YOUTUBE-WIFI TELEVISION INBUILT DECODER WIDE COLOR ENHANCER USB PORTS HDMI PORTS  8 FREE GIFTS",vision,32,smart,33,13999
"VITRON 50 Inch Frameless Television HTC 5068US Ultra HD Android Smart TV with Bluetooth-Enabled,Netflix Youtube 1.5G8G USBSD WIFI Television Multifuctional TVFREE 360SWIVEL BRACKET",vitron,50,smart,0,34990
"TCL 43S5400A 43 Inch Smart ANDROID TV BT ,Netflix,WIFI Bluetooth Youtube Appstore",tcl,43,smart,0,27490
VITRON HTC 4388FS 43 INCH BLUETOOTH FRAMELESS FHD SMART ANDROID TV Inbuilt Decoder NETFLIX  YOUTUBE APP STORE 1GBRAM 8GBROM 3HDMI Ports 2USB Ports  8  FREE GIFTS,vitron,43,smart,27,22595
"Hisense 43A4, 43 INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS",hisense,43,smart,0,30695
"VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14MONTHS WARRANTY FREE TV AERIALCABLE",vitron,32,smart,0,12599
"GLD 32 Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTSWIFI ACCESS  3 EXTRA ACCESSORIES",vision,32,smart,0,12999
"VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14MONTHS WARRANTY FREE EXTENSIONTV GUARD",vitron,32,smart,0,12699
"New arrival Syinix 32E62M 32 inch E Series FRAMELESS HD LED Digital TV A Panel i-Cast TV Screen Mirroring without Network,Data or Cable DVBT2S2 Inbuilt Decoder HIFI Speaker",syinix,32,digital,30,11595
"TCL 43INCH SMART TV ,43P635, FRAMELESS 4K ULTRA HD GOOGLE TV, VOICE CONTROL",tcl,43,smart,1,34499
