clean_standingcooker_name,brand,standing_cooker_type,oven_capacity,standing_cooker_reviews,standing_cooker_price
"Price Drop Mika 50x60, 3 Gas Pool Jet Burners  1 RAPID Hot Plate,Rotisserie Free Standing Cooker  Electric Oven",mika,Unknown,Unknown,0,36999
"3G1E VON  5858 STANDING GASS COOKER - Euro pool type burners  Rapid 1500W hotplate, Electric oven, Thick matt enamel grid.",von,Unknown,Unknown,0,43200
CHRISTMAS CLEARANCE SALE 5055 Nunix 31 standing cooker  3 GAS  1 HOT PLATE WITH ELECTRIC OVEN CLEARANCE SALE,nunix,Unknown,Unknown,0,25499
"VON 5858 Cooker 3Gas1Hot Plate, Electric Oven  Free Gifts",von,Unknown,Unknown,0,36500
VON 50  60 STANDING GAS COOKER - 3 Gas Pool Jet Burners  1 Electric Free Standing Gas Cooker  Electric Oven,von,Unknown,Unknown,0,37800
"Mika 50cm60cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie Standing Cooker",mika,Unknown,Unknown,0,36999
"Share this product


Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe",eurochef,Unknown,Unknown,0,2599
"Nunix 50  55cm Cookers 3 Gas, 1 Hotplate Standing Gas Cooker - With Electric Oven",nunix,Unknown,Unknown,0,27000
Marble Mika Standing Cooker 58 x 58 cm 3 Gas  1Electric Hotplate - With Electric Oven,mika,Unknown,Unknown,0,43200
"BLACK NOVEMBER SALE MIKA 50cm  60cm, 3 Gas Jet Burners 1 Electric, ROTISSERIE, 4 Function Electric Oven - Standing Cooker",mika,Unknown,Unknown,0,36999
"SPECIAL OFFER MIKA 50cm  60cm, 3 Gas Jet Burners 1 Electric, ROTISSERIE Free Standing Cooker with Electric Oven",mika,Unknown,Unknown,0,32999
Nunix 6060 3gas1 hot plate standing cooker  FREE GIFT,nunix,Unknown,Unknown,0,29999
Eurochef EG55-3G1EE OVEN Free Standing Cooker  FREE 2M Gas Pipe,eurochef,Unknown,Unknown,0,25000
"Mika 50cm  60cm, 3 Gas Jet Burners 1 Electric, Free Standing Cooker with Electric Oven",mika,Unknown,Unknown,0,32995
CLEARANCE OFFER VON 6060 Free Standing 3 Gas Burner 1 Electric Cooker Oven,von,Unknown,Unknown,0,36800
"Volsmart Full Gas Free Standing Cooker With Oven  nbsp - Gas Oven with Lamp,Auto Ignoition, Oven capacity 60L, Oven with thermostat, TurnspitChicken Rotisserie, Built-in Timer, Temperature Control",volsmart,Unknown,Unknown,0,21195
Nunix 3 gas plus 1 electric free Standing cooker with shelves,nunix,Unknown,Unknown,0,12000
Nunix 4 Gas Free Standing Cooker With Shelves,nunix,4 gas,Unknown,0,8999
"Nunix 50  55 Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven 1YR WRTY",nunix,Unknown,Unknown,0,24600
VON 6060 Free Standing 3 Gas Burner 1 Electric Cooker Oven,von,Unknown,Unknown,0,48999
EUROCHEF 50 BY 55 CM 3 GAS 1 HOT PLATE STANDING COOKER WITH ELECTRIC OVEN,eurochef,Unknown,Unknown,0,22400
BJS 60X60 3-GAS1 Hot Plate With Turbo-FAN Quality Standing Cooker,bjs,Unknown,Unknown,0,42525
"5060 Von 31 standing cooker affordable, quality, energy-efficient home appliances. The brand is well known for their high-quality,",von,Unknown,Unknown,0,37800
