product_name,product_reviews,product_price,clean_product_name,brand,size,tv_type
ROYAL Series  6 /6005  32 Inch Frameless Digital TV With 1 Year Warranty HD Ready With Inbuilt Decorder Supports USB HDMI VGA  With Remote Control,(4),"KSh 11,699",ROYAL Series  6 6005  32 Inch Frameless Digital TV With 1 Year Warranty HD Ready With Inbuilt Decorder Supports USB HDMI VGA  With Remote Control,Unknown,32,digital
"VISION PLUS 55"" VP8855KV  55 INCHES 4K Frameless V+ OS Smart TV BLUETOOTH BUILT-IN WIFI NETFLIX YOUTUBE DOLBY AUDIO VOICE CONTROL  SCREEN SHARE 2 YEARS WARRANTY+FREE TV GUARD+BRACKET",(2),"KSh 45,499",VISION PLUS 55 VP8855KV  55 INCHES 4K Frameless V OS Smart TV BLUETOOTH BUILT-IN WIFI NETFLIX YOUTUBE DOLBY AUDIO VOICE CONTROL  SCREEN SHARE 2 YEARS WARRANTYFREE TV GUARDBRACKET,vision,55,smart
"[ OFFER!] Hisense 55"" Inch 4K UHD HDR Frameless Smart TV, Netflix, You Tube - 2022 TELEVISION",(7),"KSh 55,999"," OFFER Hisense 55 Inch 4K UHD HDR Frameless Smart TV, Netflix, You Tube - 2022 TELEVISION",hisense,55,smart
"VITRON 32"" INCH HTC3200S,FRAMELESS,BLUETOOTH-ENABLED, Smart Android 11.0 TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY+6 FREE GIFTS",(12),"KSh 13,789","VITRON 32 INCH HTC3200S,FRAMELESS,BLUETOOTH-ENABLED, Smart Android 11.0 TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY6 FREE GIFTS",vitron,32,smart
"VITRON 43"" INCH TV  BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE HTC4388FS TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE TV GUARD+HEAVYDUTY EXTENSION",(7),"KSh 20,998","VITRON 43 INCH TV  BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE HTC4388FS TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROMFREE TV GUARDHEAVYDUTY EXTENSION",vitron,43,smart
"Vitron HTC3218 32 Inch FRAMELESS HD LED Digital TV DVBt2 with Multiple 3* HDMI,2*USB,Ports Inbuilt Decoder for FREE to air Channels only Wide Color Enhancer",(56),"KSh 11,295","Vitron HTC3218 32 Inch FRAMELESS HD LED Digital TV DVBt2 with Multiple 3 HDMI,2USB,Ports Inbuilt Decoder for FREE to air Channels only Wide Color Enhancer",vitron,32,digital
CTC 26&quot; Inch Digital TV LED FHD  Television (12 Months Warranty),(80),"KSh 8,799",CTC 26quot Inch Digital TV LED FHD  Television 12 Months Warranty,vision,26,digital
"Hisense 32""Inch  VIDAA OS Full HD FRAMELESS Smart  TV Inbuilt WIFI A4 Series Dobly Audio Inbuilt Decoder USB HDMI 24 Months Warranty + 7 Free Gifts",(7),"KSh 21,998",Hisense 32Inch  VIDAA OS Full HD FRAMELESS Smart  TV Inbuilt WIFI A4 Series Dobly Audio Inbuilt Decoder USB HDMI 24 Months Warranty  7 Free Gifts,hisense,32,smart
"Amtec 32M8  32 inch AC/DC FRAMELESS Digital LED TV with Inbuilt Decoder for local Local Channels HDMI and USB ports,VGA+ FREE TV BRACKET+ HEAVY DUTY EXTENSION CABLE",(0),"KSh 12,895","Amtec 32M8  32 inch ACDC FRAMELESS Digital LED TV with Inbuilt Decoder for local Local Channels HDMI and USB ports,VGA FREE TV BRACKET HEAVY DUTY EXTENSION CABLE",amtec,32,digital
"VITRON HTC2446 24"" INCH Television Inbuilt Decoder HD Digital LED TV AC/DC Inbuilt Decoder-for local channels  3*HDMI Output USB ports +FREE Extension+Bracket",(70),"KSh 9,495",VITRON HTC2446 24 INCH Television Inbuilt Decoder HD Digital LED TV ACDC Inbuilt Decoder-for local channels  3HDMI Output USB ports FREE ExtensionBracket,vitron,24,digital
"Skyworth 50G3A, 50″ 4K UHD Frameless Smart Android TV – Black(1YR WRTY)",(0),"KSh 43,999","Skyworth 50G3A, 50 4K UHD Frameless Smart Android TV  Black1YR WRTY",skyworth,50,smart
"Vitron 32"" Inch ,Frameless Smart Android Tv with Netflix,Youtube, Bluetooth, Google Play",(15),"KSh 13,750","Vitron 32 Inch ,Frameless Smart Android Tv with Netflix,Youtube, Bluetooth, Google Play",vitron,32,smart
