standing_cooker_name,standing_cooker_reviews,standing_cooker_price
BJS Quality Standing Cooker 60x60 3-GAS+1 Hot Plate With Turbo-FAN Quality Standing Cooker,(0),"KSh 39,999"
"Nunix 60 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)",(0),"KSh 28,000"
"Mika Standing Cooker, 50cm X 60cm, 3 Gas + 1 Hot Plate, Button Ignition, Electric Oven",(0),"KSh 32,999"
CLEARANCE SALE EURO55-3+1-E Free Standing 3 Gas Cooker+1 Hotplate With Electric Oven Cooker,(1),"KSh 21,999"
"Mika  4- Gas, 50cm * 60cm, Button Ignition Standing Cooker-MST5060U11ESL + Gas Oven+1 YEAR WARRANTY",(0),"KSh 24,899"
50*55 Nunix 3+1 standing cooker ( 3 GAS + 1 HOT PLATE WITH ELECTRIC OVEN),(0),"KSh 24,585"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate, Free Standing Cooker with Electric Oven",(0),"KSh 28,000"
"VON 58cm by 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven with Gifts (Pipe & Regulators)",(0),"KSh 37,599"
"Mika MST5060U11ESL, All Gas, 50cm * 60cm, Button Ignition Standing Cooker + Gas Oven+1 YEAR WARRANTY",(0),"KSh 24,999"
Nunix Free Standing Cooker 60x60 CM 3Gas +1 Electric +1 YEAR WARRANTY,(0),"KSh 28,500"
"Haier standing cooker, 3G+1E, electric oven, 60*55, augoingition, gas sensor/flame failure sensor, one wok burner",(0),"KSh 45,000"
"VON 58cm by 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven+1YEAR WARRANTY",(0),"KSh 40,900"
COOKER. BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN Quality Standing Cooker. Rotisserie Mechanical Timer Thermostat Oven Lamp,(0),"KSh 38,500"
"VON Cooker, Free Standing 58x58, 3 Gas Pool Jet Burners +1 Electric Hotplate, Electric Oven",(0),"KSh 36,500"
"VON 60cm x 55cm, 3 Gas Jet Burners + 1 Hot Plate Standing Cooker with Electric Oven+1 YEAR WARRANTY",(0),"KSh 42,000"
"Share this product


Von Hotpoint Free Standing 58cm x 58cm, 3 Gas Pool Jet Burners + 1 Hot Plate,Cooker,Electric Oven",(0),"KSh 40,999"
"Eurochef EG55-3G1E+E OVEN Free Stand Glass Top Cooker,rotisserie Silver, 60L",(0),"KSh 25,400"
"Mika Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Matt Black WITH FREE PIPE AND REGULATOR AND CLIPS",(0),"KSh 38,800"
"Mika Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Matt Black WITH FREE PIPE AND REGULATOR AND CLIPS",(0),"KSh 36,999"
Vision Plus 3 Gas + 1 Electric Plate 55X60 Standing Cooker with Electric Oven,(0),"KSh 36,499"
"NEW ARRIVALS. COOKER. BJS SILVER  60x90 5+1 Hot Plate Gas Cooker, Wok Burner, w/ Turbo Fan, Oven 90L Capacity, Electric Oven, Pool Jet valve for efficient Gas Consumption, Electric oven and grill",(0),"KSh 81,000"
Nunix Free Standing 3 Gas Burner +1 Electric Cooker With Oven,(0),"KSh 25,999"
"LUXURY FOR LESS. COOKER. BJS   60x90 4+2 Hot Plate Gas Cooker, w/ Turbo Fan, Oven 90L Capacity  with gas sensor, Electric Oven, Pool Jet valve for efficient Gas Consumption, Electric oven and grill",(0),"KSh 75,600"
Vision Plus 3 Gas + 1 Electric Plate 55X60 Standing Cooker with Electric Oven,(0),"KSh 35,999"
"Cooker, Free Standing 58x58, 3 Gas Pool Jet Burners +1 Electric Hotplate, Electric Oven",(0),"KSh 36,999"
"VON COOKER 60 BY 55 3 Gas+1 Electric, 60cm by 55cm, Standing Gas Cooker with Electric Oven",(0),"KSh 40,299"
Mika 50 X 60CM Standing Cooker 3G + 1E Hotplate With Electric Oven Automatic Ignition,(0),"KSh 36,999"
Mika 3 + 1 standing cookers with stainless steel top with electric oven,(0),"KSh 68,850"
